candidate_id,rank,score,reasoning
CAND_0006567,1,0.8869399005174636,Matches core criteria with 7.9 YOE. Strong alignment in . High platform engagement with a 79% responsiveness metric.
CAND_0005538,2,0.8814398552179337,Matches core criteria with 5.9 YOE. Strong alignment in . High platform engagement with a 81% responsiveness metric.
CAND_0071974,3,0.8770141142606735,Matches core criteria with 7.8 YOE. Strong alignment in . High platform engagement with a 76% responsiveness metric.
CAND_0002025,4,0.8767037662863733,Matches core criteria with 5.9 YOE. Strong alignment in . High platform engagement with a 80% responsiveness metric.
CAND_0030031,5,0.822178122639656,Matches core criteria with 5.7 YOE. Strong alignment in . High platform engagement with a 94% responsiveness metric.
CAND_0025640,6,0.8185785899162292,Matches core criteria with 5.6 YOE. Strong alignment in . High platform engagement with a 87% responsiveness metric.
CAND_0046525,7,0.8174507333636283,Matches core criteria with 6.1 YOE. Strong alignment in . High platform engagement with a 88% responsiveness metric.
CAND_0074317,8,0.817291516661644,Matches core criteria with 4.2 YOE. Strong alignment in . High platform engagement with a 86% responsiveness metric.
CAND_0054546,9,0.8160384786128998,Matches core criteria with 4.9 YOE. Strong alignment in . High platform engagement with a 92% responsiveness metric.
CAND_0008295,10,0.8160044434070587,Matches core criteria with 6.5 YOE. Strong alignment in . High platform engagement with a 89% responsiveness metric.
CAND_0079387,11,0.8151558320522309,Matches core criteria with 6.9 YOE. Strong alignment in . High platform engagement with a 81% responsiveness metric.
CAND_0046132,12,0.8121432236433029,Matches core criteria with 4.3 YOE. Strong alignment in . High platform engagement with a 94% responsiveness metric.
CAND_0044883,13,0.8105982515215873,Matches core criteria with 6.3 YOE. Strong alignment in . High platform engagement with a 84% responsiveness metric.
CAND_0060054,14,0.8098681271076202,Matches core criteria with 6.4 YOE. Strong alignment in . High platform engagement with a 86% responsiveness metric.
CAND_0043637,15,0.8092086660861968,Matches core criteria with 5.5 YOE. Strong alignment in . High platform engagement with a 92% responsiveness metric.
CAND_0090300,16,0.8078605628013611,Matches core criteria with 5.3 YOE. Strong alignment in . High platform engagement with a 94% responsiveness metric.
CAND_0074648,17,0.8076190339922904,Matches core criteria with 4.1 YOE. Strong alignment in . High platform engagement with a 82% responsiveness metric.
CAND_0058688,18,0.8058751730918884,Matches core criteria with 6.7 YOE. Strong alignment in . High platform engagement with a 74% responsiveness metric.
CAND_0082314,19,0.8040848636627197,Matches core criteria with 4.0 YOE. Strong alignment in . High platform engagement with a 86% responsiveness metric.
CAND_0064904,20,0.8039317442178727,Matches core criteria with 4.9 YOE. Strong alignment in . High platform engagement with a 78% responsiveness metric.
CAND_0058146,21,0.8033724485635757,Matches core criteria with 5.1 YOE. Strong alignment in . High platform engagement with a 79% responsiveness metric.
CAND_0062247,22,0.8032839345932008,Matches core criteria with 7.3 YOE. Strong alignment in . High platform engagement with a 78% responsiveness metric.
CAND_0062658,23,0.8015402913093567,Matches core criteria with 4.2 YOE. Strong alignment in . High platform engagement with a 81% responsiveness metric.
CAND_0099806,24,0.8013405057191849,Matches core criteria with 4.6 YOE. Strong alignment in . High platform engagement with a 76% responsiveness metric.
CAND_0046459,25,0.8012031009793281,Matches core criteria with 4.5 YOE. Strong alignment in . High platform engagement with a 84% responsiveness metric.
CAND_0024947,26,0.8005595643520356,Matches core criteria with 6.1 YOE. Strong alignment in . High platform engagement with a 79% responsiveness metric.
CAND_0078785,27,0.7995254935026168,Matches core criteria with 6.3 YOE. Strong alignment in . High platform engagement with a 91% responsiveness metric.
CAND_0007596,28,0.7987802483439445,Matches core criteria with 4.4 YOE. Strong alignment in . High platform engagement with a 86% responsiveness metric.
CAND_0099965,29,0.7987802483439445,Matches core criteria with 4.6 YOE. Strong alignment in . High platform engagement with a 88% responsiveness metric.
CAND_0036484,30,0.7973418812155724,Matches core criteria with 5.7 YOE. Strong alignment in . High platform engagement with a 80% responsiveness metric.
CAND_0011643,31,0.7966983445882797,Matches core criteria with 4.2 YOE. Strong alignment in . High platform engagement with a 85% responsiveness metric.
CAND_0016659,32,0.7962292037010194,Matches core criteria with 4.4 YOE. Strong alignment in . High platform engagement with a 89% responsiveness metric.
CAND_0052706,33,0.796054807960987,Matches core criteria with 5.1 YOE. Strong alignment in . High platform engagement with a 79% responsiveness metric.
CAND_0079888,34,0.795632966041565,Matches core criteria with 4.3 YOE. Strong alignment in . High platform engagement with a 84% responsiveness metric.
CAND_0017178,35,0.7956012626886367,Matches core criteria with 4.2 YOE. Strong alignment in . High platform engagement with a 85% responsiveness metric.
CAND_0076482,36,0.7944852497577667,Matches core criteria with 6.6 YOE. Strong alignment in . High platform engagement with a 86% responsiveness metric.
CAND_0022852,37,0.794396220088005,Matches core criteria with 5.4 YOE. Strong alignment in . High platform engagement with a 86% responsiveness metric.
CAND_0050454,38,0.7943186590671539,Matches core criteria with 6.8 YOE. Strong alignment in . High platform engagement with a 77% responsiveness metric.
CAND_0033179,39,0.7941241980791092,Matches core criteria with 6.9 YOE. Strong alignment in . High platform engagement with a 84% responsiveness metric.
CAND_0043829,40,0.7933707430958749,Matches core criteria with 4.8 YOE. Strong alignment in . High platform engagement with a 78% responsiveness metric.
CAND_0092706,41,0.7928371248245241,Matches core criteria with 5.8 YOE. Strong alignment in . High platform engagement with a 78% responsiveness metric.
CAND_0080291,42,0.7927844464778899,Matches core criteria with 6.5 YOE. Strong alignment in . High platform engagement with a 85% responsiveness metric.
CAND_0000422,43,0.7924727425575256,Matches core criteria with 6.3 YOE. Strong alignment in . High platform engagement with a 79% responsiveness metric.
CAND_0042441,44,0.7921935881972312,Matches core criteria with 4.1 YOE. Strong alignment in . High platform engagement with a 72% responsiveness metric.
CAND_0064664,45,0.7918433874249459,Matches core criteria with 4.4 YOE. Strong alignment in . High platform engagement with a 80% responsiveness metric.
CAND_0011327,46,0.791831583380699,Matches core criteria with 6.3 YOE. Strong alignment in . High platform engagement with a 79% responsiveness metric.
CAND_0049540,47,0.7913474723100662,Matches core criteria with 6.8 YOE. Strong alignment in . High platform engagement with a 86% responsiveness metric.
CAND_0096209,48,0.7912056756019592,Matches core criteria with 4.2 YOE. Strong alignment in . High platform engagement with a 90% responsiveness metric.
CAND_0008517,49,0.7911904242038729,Matches core criteria with 5.6 YOE. Strong alignment in . High platform engagement with a 80% responsiveness metric.
CAND_0035879,50,0.790906514942646,Matches core criteria with 4.5 YOE. Strong alignment in . High platform engagement with a 82% responsiveness metric.
CAND_0041016,51,0.7908893442153933,Matches core criteria with 5.2 YOE. Strong alignment in . High platform engagement with a 80% responsiveness metric.
CAND_0047521,52,0.790889344215393,Matches core criteria with 4.4 YOE. Strong alignment in . High platform engagement with a 83% responsiveness metric.
CAND_0069905,53,0.7907116413712503,Matches core criteria with 6.6 YOE. Strong alignment in . High platform engagement with a 78% responsiveness metric.
CAND_0043860,54,0.7905973143577576,Matches core criteria with 6.1 YOE. Strong alignment in . High platform engagement with a 81% responsiveness metric.
CAND_0052431,55,0.7905777345895767,Matches core criteria with 5.3 YOE. Strong alignment in . High platform engagement with a 85% responsiveness metric.
CAND_0060303,56,0.7899081058502198,Matches core criteria with 4.9 YOE. Strong alignment in . High platform engagement with a 75% responsiveness metric.
CAND_0071747,57,0.7896194416880606,Matches core criteria with 4.2 YOE. Strong alignment in . High platform engagement with a 87% responsiveness metric.
CAND_0028422,58,0.7889942419528961,Matches core criteria with 5.5 YOE. Strong alignment in . High platform engagement with a 76% responsiveness metric.
CAND_0067535,59,0.788994241952896,Matches core criteria with 6.8 YOE. Strong alignment in . High platform engagement with a 81% responsiveness metric.
